word1,word2,similarity
ai,aie,0.4837360978126526
ai,aient,0.2559899687767029
ai,aies,0.39517277479171753
ai,ait,0.34973570704460144
ai,as,0.6341396570205688
ai,au,0.26782068610191345
ai,aura,0.27338576316833496
ai,aurai,0.5277033448219299
ai,auraient,0.2510306239128113
ai,aurais,0.5261068940162659
ai,aurait,0.31781288981437683
ai,auras,0.2907608449459076
ai,aurez,0.31739330291748047
ai,auriez,0.33212053775787354
ai,aurions,0.30718815326690674
ai,aurons,0.254233717918396
ai,auront,0.21099203824996948
ai,aux,0.08824057877063751
ai,avaient,0.27930641174316406
ai,avais,0.6110672354698181
ai,avait,0.3750174939632416
ai,avec,0.1872284859418869
ai,avez,0.3693467676639557
ai,aviez,0.3562229573726654
ai,avions,0.25858262181282043
ai,avons,0.443931519985199
ai,ayant,0.35598957538604736
ai,ayants,-0.029267335310578346
ai,ayez,0.2942744493484497
ai,ayons,0.29853469133377075
ai,c,0.4204235374927521
ai,ce,0.388816773891449
ai,ces,0.14670412242412567
ai,d,0.35762819647789
ai,dans,0.07504738867282867
ai,de,0.26939132809638977
ai,des,0.12824276089668274
ai,du,0.23411652445793152
ai,elle,0.18928445875644684
ai,en,0.28117650747299194
ai,es,0.37667638063430786
ai,est,0.20076429843902588
ai,et,0.3936213254928589
ai,eu,0.7354478240013123
ai,eue,0.4109611511230469
ai,eues,0.3207632303237915
ai,eurent,0.16851021349430084
ai,eus,0.4883061349391937
ai,eusse,0.4494115710258484
ai,eussent,0.20481270551681519
ai,eusses,0.2760443687438965
ai,eussiez,0.28530824184417725
ai,eussions,0.2712392210960388
ai,eut,0.32220569252967834
ai,eux,0.1555638164281845
ai,eûmes,0.29864057898521423
ai,eût,0.28612756729125977
ai,eûtes,0.27500465512275696
ai,furent,0.04046745225787163
ai,fus,0.2870590090751648
ai,fusse,0.20343562960624695
ai,fussent,0.07049660384654999
ai,fusses,0.13751104474067688
ai,fussiez,0.18139056861400604
ai,fussions,0.11734677851200104
ai,fut,0.18874536454677582
ai,fûmes,0.1516091376543045
ai,fût,0.16085374355316162
ai,fûtes,0.17424963414669037
ai,il,0.5011873841285706
ai,ils,0.20798015594482422
ai,j,0.8043321967124939
ai,je,0.641779363155365
ai,l,0.366584837436676
ai,la,0.24902662634849548
ai,le,0.2964372932910919
ai,les,0.14030297100543976
ai,leur,0.12627598643302917
ai,lui,0.1716911643743515
ai,m,0.438012957572937
ai,ma,0.5071765184402466
ai,mais,0.27890652418136597
ai,me,0.4647473096847534
ai,mes,0.2944715917110443
ai,moi,0.33683866262435913
ai,mon,0.37639889121055603
ai,même,0.29142045974731445
ai,n,0.5077652931213379
ai,ne,0.3764129877090454
ai,nos,0.08987260609865189
ai,notre,0.14367985725402832
ai,nous,0.17660239338874817
ai,on,0.4844067692756653
ai,ont,0.3239646553993225
ai,ou,0.3768439292907715
ai,par,0.10951600968837738
ai,pas,0.3063710927963257
ai,pour,0.17055821418762207
ai,qu,0.3876951336860657
ai,que,0.27942439913749695
ai,qui,0.21151983737945557
ai,s,0.312936007976532
ai,sa,0.25245794653892517
ai,se,0.22929462790489197
ai,sera,0.12827923893928528
ai,serai,0.22396479547023773
ai,seraient,0.022157832980155945
ai,serais,0.2497510015964508
ai,serait,0.11035770177841187
ai,seras,0.13415414094924927
ai,serez,0.08551377803087234
ai,seriez,0.13884200155735016
ai,serions,0.08303606510162354
ai,serons,0.025726865977048874
ai,seront,-0.002649247646331787
ai,ses,0.07466011494398117
ai,soient,0.04197029024362564
ai,sois,0.1767268180847168
ai,soit,0.13438907265663147
ai,sommes,0.12360475957393646
ai,son,0.14124977588653564
ai,sont,0.03871958702802658
ai,soyez,0.039311483502388
ai,soyons,0.0721757709980011
ai,suis,0.3365247845649719
ai,sur,0.1646934151649475
ai,t,0.4244072735309601
ai,ta,0.3603242039680481
ai,te,0.3600825369358063
ai,tes,0.16636313498020172
ai,toi,0.19814273715019226
ai,ton,0.2135424017906189
ai,tu,0.5031888484954834
ai,un,0.38659605383872986
ai,une,0.20543016493320465
ai,vos,0.11398445814847946
ai,votre,0.13943858444690704
ai,vous,0.22397026419639587
ai,y,0.5479082465171814
ai,à,0.29794663190841675
ai,étaient,0.09606742858886719
ai,étais,0.3999793231487274
ai,était,0.21797510981559753
ai,étant,0.18364472687244415
ai,étants,0.030875615775585175
ai,étiez,0.13451120257377625
ai,étions,0.17439047992229462
ai,été,0.34449315071105957
ai,étée,0.4105736017227173
ai,étées,0.3322993218898773
ai,étés,0.20218750834465027
ai,êtes,0.123271144926548
aie,aient,0.6614013314247131
aie,aies,0.7370434999465942
aie,ait,0.7429238557815552
aie,as,0.36173516511917114
aie,au,0.09941069781780243
aie,aura,0.4723871350288391
aie,aurai,0.6953685879707336
aie,auraient,0.5031220316886902
aie,aurais,0.7099705934524536
aie,aurait,0.5523678660392761
aie,auras,0.530989408493042
aie,aurez,0.4663255214691162
aie,auriez,0.5757019519805908
aie,aurions,0.5470578074455261
aie,aurons,0.471718966960907
aie,auront,0.4251197278499603
aie,aux,0.14882387220859528
aie,avaient,0.4532669186592102
aie,avais,0.6767934560775757
aie,avait,0.5211750268936157
aie,avec,0.27137356996536255
aie,avez,0.5250736474990845
aie,aviez,0.5508052110671997
aie,avions,0.36832451820373535
aie,avons,0.5355350375175476
aie,ayant,0.5290156006813049
aie,ayants,0.20201538503170013
aie,ayez,0.7266893982887268
aie,ayons,0.7398359775543213
aie,c,0.14701031148433685
aie,ce,0.21290144324302673
aie,ces,0.25645095109939575
aie,d,0.21562400460243225
aie,dans,0.1709001362323761
aie,de,0.16756829619407654
aie,des,0.23470541834831238
aie,du,0.13007189333438873
aie,elle,0.36401933431625366
aie,en,0.08174783736467361
aie,es,0.18935343623161316
aie,est,0.3472749590873718
aie,et,0.1402674913406372
aie,eu,0.39503175020217896
aie,eue,0.5438165664672852
aie,eues,0.4152379035949707
aie,eurent,0.3262050747871399
aie,eus,0.6008182764053345
aie,eusse,0.6658724546432495
aie,eussent,0.4824367165565491
aie,eusses,0.5250685214996338
aie,eussiez,0.535239577293396
aie,eussions,0.532804548740387
aie,eut,0.4662793278694153
aie,eux,0.2648444175720215
aie,eûmes,0.43252867460250854
aie,eût,0.5601067543029785
aie,eûtes,0.3746693432331085
aie,furent,0.22570672631263733
aie,fus,0.3689945638179779
aie,fusse,0.45448824763298035
aie,fussent,0.38380035758018494
aie,fusses,0.4009111523628235
aie,fussiez,0.4136177897453308
aie,fussions,0.3972490429878235
aie,fut,0.28214260935783386
aie,fûmes,0.301175594329834
aie,fût,0.3702917993068695
aie,fûtes,0.24707329273223877
aie,il,0.26293566823005676
aie,ils,0.33105021715164185
aie,j,0.42271578311920166
aie,je,0.3533300459384918
aie,l,0.20553244650363922
aie,la,0.12778043746948242
aie,le,0.11569663882255554
aie,les,0.2870641350746155
aie,leur,0.23379719257354736
aie,lui,0.33201366662979126
aie,m,0.22943511605262756
aie,ma,0.2887010872364044
aie,mais,0.38880664110183716
aie,me,0.23867642879486084
aie,mes,0.37305229902267456
aie,moi,0.46685904264450073
aie,mon,0.4149949848651886
aie,même,0.3969854712486267
aie,n,0.31265169382095337
aie,ne,0.23610007762908936
aie,nos,0.22063606977462769
aie,notre,0.24224010109901428
aie,nous,0.3547568917274475
aie,on,0.2579165995121002
aie,ont,0.4838407635688782
aie,ou,0.13839806616306305
aie,par,0.1270759403705597
aie,pas,0.5545229911804199
aie,pour,0.32796961069107056
aie,qu,0.2701796293258667
aie,que,0.48004481196403503
aie,qui,0.2785847783088684
aie,s,0.11300528794527054
aie,sa,0.13652625679969788
aie,se,0.0879909098148346
aie,sera,0.29347801208496094
aie,serai,0.350349485874176
aie,seraient,0.23275330662727356
aie,serais,0.3697570860385895
aie,serait,0.3281972408294678
aie,seras,0.3193321228027344
aie,serez,0.23759755492210388
aie,seriez,0.282400906085968
aie,serions,0.24317872524261475
aie,serons,0.22666104137897491
aie,seront,0.22799178957939148
aie,ses,0.24427904188632965
aie,soient,0.4263914227485657
aie,sois,0.5069268345832825
aie,soit,0.4847543239593506
aie,sommes,0.21312086284160614
aie,son,0.26595860719680786
aie,sont,0.23684288561344147
aie,soyez,0.3078441619873047
aie,soyons,0.3661291003227234
aie,suis,0.33332759141921997
aie,sur,0.2326720654964447
aie,t,0.3118496239185333
aie,ta,0.2516824007034302
aie,te,0.21819406747817993
aie,tes,0.35665810108184814
aie,toi,0.39454710483551025
aie,ton,0.36442649364471436
aie,tu,0.3277324438095093
aie,un,0.15242119133472443
aie,une,0.2712448537349701
aie,vos,0.2760637402534485
aie,votre,0.28144651651382446
aie,vous,0.35644856095314026
aie,y,0.29803466796875
aie,à,0.14841832220554352
aie,étaient,0.2388761341571808
aie,étais,0.39150556921958923
aie,était,0.3065839409828186
aie,étant,0.30140918493270874
aie,étants,0.09844300150871277
aie,étiez,0.27661609649658203
aie,étions,0.2423745095729828
aie,été,0.4431958794593811
aie,étée,0.41415613889694214
aie,étées,0.36080849170684814
aie,étés,0.2715715169906616
aie,êtes,0.23357141017913818
aient,aies,0.6273676753044128
aient,ait,0.8106822371482849
aient,as,0.23585626482963562
aient,au,0.15280985832214355
aient,aura,0.4634283185005188
aient,aurai,0.4882165789604187
aient,auraient,0.7853836417198181
aient,aurais,0.514589250087738
aient,aurait,0.6013630032539368
aient,auras,0.41822344064712524
aient,aurez,0.3634383976459503
aient,auriez,0.4796143174171448
aient,aurions,0.563848614692688
aient,aurons,0.47854670882225037
aient,auront,0.6591649055480957
aient,aux,0.2691275179386139
aient,avaient,0.7380983233451843
aient,avais,0.4675833582878113
aient,avait,0.542223334312439
aient,avec,0.2642062306404114
aient,avez,0.4169257879257202
aient,aviez,0.44614118337631226
aient,avions,0.4284513592720032
aient,avons,0.5213618874549866
aient,ayant,0.6273557543754578
aient,ayants,0.38105690479278564
aient,ayez,0.5968924760818481
aient,ayons,0.6680936217308044
aient,c,0.0568283274769783
aient,ce,0.2158837467432022
aient,ces,0.3662310242652893
aient,d,0.25439557433128357
aient,dans,0.2238384336233139
aient,de,0.22298257052898407
aient,des,0.35393059253692627
aient,du,0.14216312766075134
aient,elle,0.31393924355506897
aient,en,0.1764357089996338
aient,es,0.06694883108139038
aient,est,0.3169935345649719
aient,et,0.22815370559692383
aient,eu,0.33345094323158264
aient,eue,0.4154541492462158
aient,eues,0.45266231894493103
aient,eurent,0.5947145819664001
aient,eus,0.4982028007507324
aient,eusse,0.48971039056777954
aient,eussent,0.6676188707351685
